"title","source","source_type","deadline","posted","award_ceiling","estimated_funding","indirect_rate","eligibility","fit","number","url","matched_terms","description"
"Tribal Colleges and Universities Program","U.S. National Science Foundation","","2026-09-01","2021-06-24","3500000","10799836","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","100","21-595","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf21595","artificial intelligence; data; infrastructure; learning; assessment; workforce; professional development; implementation","The Tribal Colleges and Universities Program (TCUP) provides awards to federally recognized 1 Tribal Colleges and Universities, Alaska Native-serving institutions, and Native Hawaiian-serving institutions to promote high quality science (including sociology, psychology, anthropology, linguistics, economics and bioeconomics, statistics, and other social and behavioral sciences; natural sciences; computer science, including, but not limited to, artificial intelligence, quantum information science, and cybersecurity), technology, engineering and mathematics (STEM), STEM education, research, and outreach. Support is available to TCUP-eligible institutions (see the Additional Eligibility subsection of Section IV of this solicitation) for transformative capacity-building or community engagement projects through Instructional Capacity Excellence in TCUP Institutions (ICE-TI), Targeted STEM Infusion Projects (TSIP),TCUP for Secondary and Elementary Teachers in STEM (TSETS), TCU Enterprise Advancement Centers (TEA Centers), Cyberinfrastructure Health, Assistance, and Improvements (CHAI), and Preparing for TCUP Implementation (Pre-TI). Collaborations led by TCUP institutions that involve non-TCUP institutions of higher education are supported through TCUP Partnerships, with the participation of other NSF programs to support the work of non-TCUP institutions. Finally, research studies that further the scholarly activity of individual faculty members are supported through Small Grants for Research (SGR). Through the opportunities highlighted above, as well as collaborations with other National Science Foundation (NSF) divisions and directorates, and other organizations,TCUPaims toincrease Native individuals' participation in STEM careers, improve the quality of STEM programs atTCUP-eligible institutions, and facilitate the development of a strong STEM enterprise in TCUP institutions' service areas. TCUP supports transformative capacity-building, community engagement, or research projects at TCUP-eligible institutions through the following funding tracks: Instructional Capacity Excellence in TCUP Institutions (ICE-TI) projects provide support to design, implement, and assess comprehensive institutional improvements in STEM education and research capacity at TCUP-eligible institutions of higher education. By strengthening STEM education and STEM education research, successful projects will increase the number of STEM students and improve the quality of their preparation. ICE-TI projects create and/or adapt and assess innovative models and materials for teaching and learning in STEM, embody knowledge about how students learn most effectively in STEM teaching and learning activities, and bring STEM disciplinary advances into the undergraduate or graduate experience. The objective of this strand is to expand STEM degrees offered by TCUP-eligible institutions or significantly enhance instructional approaches. Targeted STEM Infusion Projects (TSIP) support the attainment of a short-term, well-defined goal to improve the quality of STEM education at an eligible institution. Targeted STEM Infusion Projects could, for example, enhance academic infrastructure by systematically adding traditional knowledge to the scope or content of a STEM course, updating curricula, modernizing laboratory research equipment, developing and delivering professional development for K-12 STEM educators, or improving the computational infrastructure.The objective of this strand is to expand STEM degrees or significantly enhance instructional approaches. TCUP for Secondary & Elementary Teachers in STEM (TSETS) supports in-service professional development in STEM disciplinary or STEM education content and/or research for K-12 STEM teachers in the relevant service area. Examples of project activities include, but are not limited to, professional development involving seminar series and engagement in STEM instruction and content during the academic year, structured series of summer intensive workshops and trainings, and summer research opportunities. The objective of this strand is to broaden the instructional capacity for STEM in the K-12 workforce and thereby to the entire community, and to build the capacity for STEM disciplinary or education research among participating educational professionals. TCU Enterprise Advancement Centers (TEA Centers) coalesce the STEM and/or STEM education expertise into a team, designed to support and promote the STEM goals, needs, aspirations, or interests of the chartering reservation or tribe(s). TEA Centers may address a critical tribal or community need or focus on a realm of research or design that is beyond the scope of individual research grants or that is of interest to multiple tribes. The objective of this strand is to build on the capacity developed through prior TCUP support and apply expertise to collaborations with communities in the institution's service area, or nationally. The Cyberinfrastructure Health, Assistance, and Improvements (CHAI) strand supports projects at TCUP-eligible institutions of higher education to upgrade the cyberinfrastructure necessary to conduct, expand, manage and administer STEM programs of study, including research. The objective of this strand is to equip TCUP institutions to meet the demands of virtual instruction, advanced computing, and data science opportunities. Preparing for TCUP Implementation (Pre-TI) provides support for activities that prepare an institution for Implementation-level projects.Consequently, they are available only to TCUP-eligible institutions of higher education that have never received TCUP support, have not received TCUP support within the previous five years, or are embarking on a significantly novel STEM strategic plan. Examples of supported activities include completing an institutional assessment of its current STEM instructional capacity, or engaging in conversations necessary to formulate a shared vision of what that capacity should be and how to achieve it. Pre-TI awards can support staff and faculty release time, travel, stakeholder gatherings, and associated administrative costs.The objective of this strand is to conduct self-studies and formulate strategic plans for the development of STEM instructional programs of study. The TCUP Partnerships strand provides support for collaborations that will improve TCUP institutions' instructional and research capacity in STEM fields supported by NSF; attract, retain, and support TCUP students in internships and research endeavors deemed to be necessary for a complete curriculum offering; and engage partner universities to provide an academic grounding and a successful transition for students who wish to study or attain degrees in STEM fields supported by NSF. TCUP Partnerships broaden the number of scientific disciplines available to students at TCUP institution through collaborations with non-TCUP institutions. Active Pre-Engineering Education Collaboratives or Partnerships in Geoscience Education awards are not affected by this revision. The objective of this strand is the development, through instructional and research capacity-building, of academic and career pathways for TCUP students through supporting collaborative projects between and among TCUP and non-TCUP institutions. Interested teams of collaborators for which a TCUP institution serves as lead should contact the TCUP program directors. Support for non-TCUP partners must be obtained from other NSF programs, which follows the procedures of the prior Partnership strands. Small Grants for Research (SGR) strand support STEM or STEM Education faculty members at TCUP-eligible institutions to initiate or pursue research projects or programs that may include undergraduate or graduate student engagement. Awards are intended to help further the faculty member's research capability and effectiveness; improve research and teaching at his or her home institution and create and study new models and innovations in STEM teaching and learning. International research or collaborations are strongly encouraged. TCUP students may seek support for international research opportunities under the guidance of a TCUP STEM or STEM education faculty member and an international research collaborator. These awards are particularly appropriate as a means of recruiting and retaining highly qualified scientists, engineers, and educators at TCUP-eligible institutions. The objective of this strand is to support faculty research and professional development that build research capacity at TCUP institutions. [1] Executive Order 13021 defines Tribal Colleges and Universities (""tribal colleges"") as those institutions cited in section 532 of the Equity in Educational Land-Grant Status Act of 1994 (7 U.S.C. 301 note), and other institutions that qualify for funding under the Tribally Controlled Community College Assistance Act of 1978, (25 U.S.C. 1801 et seq.), as well as Navajo Community College as authorized in the Navajo Community College Assistance Act of 1978, Public Law 95-471, Title II (25 U.S.C. 640a note). The term ""Alaska Native-serving institution"" means an institution of higher education that is an eligible institution under section 1058(b) of the Higher Education Act; and that, at the time of submission, has an undergraduate enrollment that is at least 20 percent Alaska Native students. The term ""Native Hawaiian-serving institution"" means an institution of higher education that is an eligible institution under section 1058(b) of the Higher Education Act; and that, at the time of submission, has an undergraduate enrollment that is at least 10 percent Native Hawaiian students. Most TCUP-eligible institutions of higher education are two-year or community colleges. See the Who May Submit Proposals section in this solicitation for further details."
"U.S. National Science Foundation Research Traineeship (NRT) Program","U.S. National Science Foundation","","2026-09-08","2024-08-17","3000000","53000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","100","24-597","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf24597","learning; evidence; workforce; stem; workforce development; skills; science; technology","The NSF Research Traineeship (NRT) program seeks proposals that explore ways for graduate students in research-based master's and doctoral degree programs to develop the skills, knowledge, and competencies needed to pursue a range of STEM careers. The program is dedicated to effective training of STEM graduate students in high priority interdisciplinary or convergent research areas, through a comprehensive traineeship model that is innovative, evidence-based, and aligned with changing workforce and research needs. Proposals are requested that address any interdisciplinary or convergent research theme of national priority, as described in section II.D below. The NRT program addresses workforce development, emphasizing broad participation, and institutional capacity building needs in graduate education. The program encourages proposals that involve strategic collaborations with the private sector, non-governmental organizations (NGOs), government agencies, national laboratories, field stations, teaching and learning centers, informal science centers, and academic partners. NRT especially welcomes proposals that reflect collaborations between NRT proposals and existing NSF Eddie Bernice Johnson Inclusion across the Nation of Communities of Learners of Underrepresented Discoverers in Engineering and Science (INCLUDES) Initiative , Research Experiences for Undergraduates (REU) , Louis Stokes Alliances for Minority Participation (LSAMP) , NSF Scholarships in Science, Technology, Engineering, and Mathematics (S-STEM) , and NSF STEM Ed Organizational Postdoctoral Fellowship program (STEM Ed OPRF) projects, provided the collaboration will strengthen both projects. Researchers at minority serving institutions and emerging research institutions are strongly encouraged to submit proposals. Collaborations between NRT proposals and existing NSF INCLUDES projects should strengthen both NRT and INCLUDES projects."
"IUSE/Professional Formation of Engineers: Revolutionizing Engineering Departments","U.S. National Science Foundation","","2026-09-08","2024-04-05","2000000","8000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","100","24-564","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf24564","artificial intelligence; learning; evidence; implementation; stem; higher education; undergraduate; skills","Revolutionizing Engineering Departments (hereinafter referred to as RED) is designed to build upon previous efforts in engineering education research. Specifically, previous and ongoing evaluations of the NSF Engineering Education and Centers Division program and its predecessors, as well as those related programs in the Directorate for STEM Education, have shown that prior investments have significantly improved the first year of engineering students' experiences, incorporating engineering material, active learning approaches, design instruction, and a broad introduction to professional skills and a sense of professional practice - giving students an idea of what it means to become an engineer. Similarly, the senior year has seen notable change through capstone design experiences, which ask students to synthesize the technical knowledge, skills, and abilities they have gained with professional capacities, using reflective judgment to make decisions and communicate these effectively. However, this ideal of the senior year has not yet been fully realized, because many of the competencies required in capstone design, or required of professional engineers, are only partially introduced in the first year and not carried forward with significant emphasis through the sophomore and junior years. The Directorates for Engineering (ENG) and STEM Education (EDU) are funding projects as part of the RED program, in alignment with the Improving Undergraduate STEM Education (IUSE) framework and Professional Formation of Engineers (PFE) initiative. These projects are designing revolutionary new approaches to engineering education, ranging from changing the canon of engineering to fundamentally altering the way courses are structured to creating new departmental structures and educational collaborations with industry. A common thread across these projects is a focus on organizational and cultural change within the departments, involving students, faculty, staff, and industry in rethinking what it means to provide an engineering program. In order to continue to catalyze revolutionary approaches, while expanding the reach of those that have proved efficacious in particular contexts, the RED program supports four tracks: RED Planning (Track 1), RED Adaptation and Implementation (Track 2), RED Innovation (Track 3), and RED Innovation Partnerships (Track 4). Two- and four-year institutions are encouraged to submit to any track as appropriate for their goals and context. RED Planning (Track 1) projects will support capacity-building activities at institutions of special interest to NSF's mission, including two-year engineering-centered programs building transfer partnerships, two-year or four-year institutions in EPSCoR jurisdictions, Primarily Undergraduate Institutions (PUIs), and Institutions of Higher Education (IHEs)in order to create more opportunities in engineering for students in every part of the country. Planning projects should provide the support for such institutions to explore the development of a RED Projects in Tracks 2, 3, & 4. RED Adaptation and Implementation (Track 2) projects will adapt and implement evidence-based organizational change strategies and actions to the local context, which helps propagate this transformation of undergraduate engineering education. RED Innovation (Track 3) projects will develop new, revolutionary approaches and change strategies that enable the transformation of undergraduate engineering education. RED Innovation Partnerships (Track 4) projects will achieve the same goals as Track 3 projects across multiple institutions. Of particular interest to this track are projects partnering two-year institutions with other eligible institutions. Projects in tracks 2, 3, & 4 will include consideration of the cultural, organizational, structural, and pedagogical changes needed to transform one or more departments to ones in which students are engaged, develop their technical and professional skills, and establish identities as professional engineers or technologists. The focus of projects in these tracks should be on the department's disciplinary courses and program. RED project initiatives are expected to be institutionalized at the end of the funding period. Proposals are especially encouraged that address areas of increased national interest including but not limited to advanced manufacturing, advanced wireless, artificial intelligence, biotechnology, microelectronics and semiconductors, net zero technologies, sustainability, systems engineering, and quantum engineering."
"A Science of Science Approach to Analyzing and Innovating the Biomedical Research Enterprise","U.S. National Science Foundation","","2026-09-09","2023-03-21","250000","2000000","","Unrestricted (i.e., open to any type of entity above), subject to any clarification in text field entitled ""Additional Information on Eligibility""","68","23-569","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf23569","workforce; science; engineering","The National Science Foundation (NSF) and the National Institutes of Health (NIH) are interested in proposals that will propel our understanding of the biomedical research enterprise by drawing from the scientific expertise of the science of science policy research community. NSF promotes the progress of science by maintaining the general health of research and education across all fields of science and engineering. The Social, Behavioral and Economic Sciences (SBE) Directorate within NSF supports basic research on people and society. The SBE sciences focus on human behavior and social organizations; how social, economic, political, cultural and environmental forces affect the lives of people from birth to old age; and how people in turn shape those forces. SBE's Science of Science: Discovery, Communication and Impact Program (SoS:DCI) supports research designed to advance the scientific basis of science and innovation policy. The NIH is the U.S. federal agency charged with supporting biomedical research in the U.S.The National Institute of General Medical Sciences (NIGMS) within the NIH supports basic biomedical research that increases understanding of biological processes and lays the foundation for advances in disease diagnosis, treatment and prevention. Both NSF and NIH believe that there are opportunities and needs for building and supporting research projects with a focus on the scientific research enterprise. The two agencies also recognize that when programmatic goals are compatible, coordinated management and funding of a research program can have a positive synergistic effect on the level and scope of research and can leverage the investments of both agencies. Therefore, NIGMS and SBE are partnering to enable collaboration in research between theSoS:DCI program and NIGMS. This partnership will result in a portfolio of high-quality research to provide scientific analysis of important aspects of the biomedical research enterprise and efforts to foster a diverse, innovative, productive and efficient scientific workforce, from which future scientific leaders will emerge. Prospective investigators are strongly encouraged to discuss theirproposals with the program officers before submission to determine project relevance to the priorities of both SBE and NIGMS. Specific questions pertaining to this solicitation can also be directed to the SBE and NIGMS program officers."
"Computer and Information Science and Engineering (CISE): Future Computing Research","U.S. National Science Foundation","","2026-09-10","2025-07-25","12000000","280000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","72","25-543","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf25543","science; technology; engineering; cyber","The NSF CISE Directorate supports research and education projects that develop new knowledge in all aspects of computing, communications, and information science and engineering through the following Future Computing Research (Future CoRe) programs: Algorithmic Foundations (AF) program; Communications and Information Foundations (CIF) program; Computer Systems Research (CSR) program; Computing Education Research (CER) program; Cyber-Physical System Foundations and Connected Communities (CPS) program; Foundations of Emerging Technologies (FET) program; Human-Centered Computing (HCC) program; Information Integration and Informatics (III) program; Networking Technology and Systems (NeTS) program; Robust Intelligence (RI) program;and Software and Hardware Foundations (SHF) program; The CISE Future Computing Research program anticipates a portfolio of awards with a range of budgets and durations, including projects of smaller scope. Project durations and budgets must be commensurate with the scope of the proposed work up to the maximum limit of $1,000,000 with a duration up to 4 years. Typical projects are approximately $150,000 to $250,000 per year and are 3 to 4 years in duration. Projects are discouraged from exceeding $300,000 in any single year. Estimated program budget, number of awards, and average award size/duration are subject to the availability of funds."
"Probability","U.S. National Science Foundation","","2026-09-15","2024-04-03","","","","Unrestricted (i.e., open to any type of entity above), subject to any clarification in text field entitled ""Additional Information on Eligibility""","24","PD-18-1263","http://www.nsf.gov/funding/pgm_summ.jsp?pims_id=5555","science; engineering","The Probability Program supports research on the theory and applications of probability. Subfields include discrete probability, stochastic processes, limit theory, interacting particle systems, stochastic differential and partial differential equations, and Markov processes. Research in probability which involves applications to other areas of science and engineering is especially encouraged. Conferences Principal Investigators should carefully read the program solicitation &quot;Conferences and Workshops in the Mathematical Sciences&quot; (link below) to obtain important information regarding the substance of proposals for conferences, workshops, summer/winter schools, and similar activities. Conference and workshop proposals should be submitted eight months before the requested start date."
"Foundations","U.S. National Science Foundation","","2026-09-22","2018-03-29","","2300000","","Unrestricted (i.e., open to any type of entity above), subject to any clarification in text field entitled ""Additional Information on Eligibility""","24","PD-18-1268","http://www.nsf.gov/funding/pgm_summ.jsp?pims_id=5548","science; mathematics","The program in Foundations supports research in mathematical logic and the foundations of mathematics, including proof theory, recursion theory, model theory, set theory, and infinitary combinatorics. Conferences Principal Investigators should carefully read the program solicitation &quot;Conferences and Workshops in the Mathematical Sciences&quot; (link below) to obtain important information regarding the substance of proposals for conferences, workshops, summer/winter schools, and similar activities. Conference and workshop proposals should be submitted eight months before the requested start date."
"Combinatorics","U.S. National Science Foundation","","2026-09-22","2018-03-29","","","","Unrestricted (i.e., open to any type of entity above), subject to any clarification in text field entitled ""Additional Information on Eligibility""","20","PD-18-7970","http://www.nsf.gov/funding/pgm_summ.jsp?pims_id=503570","science","The Combinatorics program supports research on discrete structures and includes algebraic, enumerative, existential, extremal, geometric, and probabilistic combinatorics, including graph theory. Conferences Principal Investigators should carefully read the program solicitation &quot;Conferences and Workshops in the Mathematical Sciences&quot; (link below) to obtain important information regarding the substance of proposals for conferences, workshops, summer/winter schools, and similar activities. Conference proposals must be submitted at least six months in advance of the conference, and in the same fiscal year (which begins October 1) if possible."
"Security, Privacy, and Trust in Cyberspace","U.S. National Science Foundation","","2026-09-28","2024-12-06","1200000","60000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","100","25-515","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf25515","data; infrastructure; privacy; outcomes; workforce; stem; science; engineering","Our world is at a pivotal moment where the boundaries dividing the physical and social worlds from the cyber world have become blurred. Cyberspace has evolved from an interconnected digital environment into a complex and interdependent cyber ecosystem that involves hardware, software, networks, data, people, organizations, countries, and the physical world. Critical functions of everyday life are deeply intertwined with computing, including health, government, commerce, the public sphere, education, critical infrastructure, interpersonal communication, and transportation. The complexity and inter-dependencies in cyberspace can be misused and exploited by malicious actors. These in turn can trigger adverse outcomes such as disruption of critical infrastructure and systems; theft of intellectual property and sensitive data; amplification of inequalities; disclosure of private information of individuals, organizations, and governments; and threats to lives, livelihoods, and reputations. Furthermore, constant attacks on the data and assets of corporations, governments, and individuals undermine people's trust in decision-making and processes that depend critically on these cyber systems. The Security, Privacy, and Trust in Cyberspace (SaTC 2.0) program aims to build trust in global cyber ecosystems. Trust is the core tenet of this program and, for the purposes of this solicitation, is broadly defined to include our confidence in the security, privacy, and resilience of cyberspace, particularly in the face of malicious intent. Achieving this level of confidence in cyberspace requires not only understanding the vulnerabilities in a system that could be exploited and how they can be addressed, but also understanding the social and technical dimensions of trust in cyber systems, along with the educational efforts needed to increase public awareness of risks in cyberspace, and building a well-trained corps of privacy and security professionals. SaTC 2.0 spans the interests of NSF's Directorates for Computer and Information Science and Engineering (CISE), Mathematical and Physical Sciences (MPS), Social, Behavioral and Economic Sciences (SBE), and STEM Education (EDU). Proposals must be submitted pursuant to one of the following designations, each of which may have additional requirements: RES: The Research (RES) designation is the focus of the multidisciplinary SaTC 2.0 research program. RES projects are limited to $1,200,000 in total budget, with durations of up to four years. Proposals with a total budget of more than $600,000 have additional requirements including Broadening Participation in Computing and collaboration plans. RES proposals may include an optional Transition to Education (TTE) plan with a budget up to $50,000 (within the RES total budget request) to co-evolve novel educational initiatives in the context of the proposed research. EDU: The Education (EDU) designation is used to identify proposals focusing on education and workforce training in building trust in security, privacy, and resilience of cyberspace. EDU proposals are limited to $500,000 in total budget, with durations of up to three years. EDU proposals that primarily focus on education research with demonstrated collaboration, as reflected in the PI team between cybersecurity subject matter experts and education researcher(s), may request an additional $100,000 beyond the $500,000 limit. SEED: The Seedling (SEED) category is intended for special topics defined by accompanying Dear Colleague Letters. SEED projects are limited to $300,000 in total budget, with durations of up to two years."
"Advanced Technological Education","U.S. National Science Foundation","","2026-10-01","2024-06-25","7500000","74000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","100","24-584","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf24584","workforce; professional development; stem; higher education; college; career; workforce development; retention","With a focus on two-year Institutions of Higher Education (IHEs), the Advanced Technological Education (ATE) program supports the education of technicians for the high-technology fields that drive our nation's economy. The program involves partnerships between academic institutions (grades 7-12, IHEs), industry, and economic development agencies to promote improvement in the education of science and engineering technicians. It is strongly recommended that projects be faculty-led and required that courses and programs are credit-bearing, although materials developed may also be used for incumbent worker education. Materials may also be adapted and implemented as credit-bearing courses. The ATE program supports curriculum development; professional development of college faculty and secondary school teachers; career pathway development for both students and incumbent workers; and other activities including applied research projects that advance the knowledge base related to technician education. The ATE program encourages partnerships with other entities that may impact technician education. For example, with the National Institute of Standards and Technology (NIST) Manufacturing Extension Partnerships (MEPs) ( http://www.nist.gov/mep/index.cfm ) as applicable to support technician education programs and the industries they serve; and Manufacturing USA Institutes( https://manufacturing.gov/ ) addressing workforce development issues. The ATE program encourages proposals from Minority Serving Institutions as well as other institutions that support the recruitment, retention, and completion (certificate, degree, program)of the full spectrum of diverse talent that society has to offer, which includes underrepresented and underserved communities, in STEM technician education programs that award associate degrees."
"EDU Core Research","U.S. National Science Foundation","","2026-10-01","2026-05-15","2500000","35000000","","Unrestricted (i.e., open to any type of entity above), subject to any clarification in text field entitled ""Additional Information on Eligibility""","80","21-588","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf21588","learning; workforce; stem; workforce development; science; broadening participation","The EDU Core Research (ECR) program offers this ECR:Core solicitation and invites proposals for fundamental research (curiosity-driven basic research and use-inspired basic research) that contributes to the general, explanatory knowledge that underlies STEM education in one or more of the three broadly conceived Research Areas: Research onSTEM Learning and Learning Environments, Research on Broadening Participation in STEM fields, andResearch on STEM Workforce Development. Within this framework, the ECR program supports a wide range of fundamental STEM education research activities, aimed at learners of all groups and ages in formal and informal settings. Fundamental researchgenerates knowledge and understanding with the potential for broad relevance. The potential implications of ECR fundamental research for improving STEM education practice may be indirect and long-term rather than direct and immediate. Moreover, whether they include basic or use-inspired basic research, all successful ECR:Core proposals focus on the advancement or refinement of foundational knowledge for STEM education. The amount of funding and duration requested in proposals submitted to the ECR:Core solicitation should align with the maturity of the proposed work and the size and scope of the empirical effort. The solicitation has three levels of funding with a range of budget sizes, and proposals may request a duration of 3 to 5 years for any level: (1)Level I proposals may request up to $500,000; (2)Level II proposals may request up to $1,500,000; (3)Level III proposalsmay request up to $2,500,000. All proposals should justify the level of funding and duration in the project description."
"Mathematical Foundations of Artificial Intelligence","U.S. National Science Foundation","","2026-10-09","2024-05-02","1500000","8500000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","100","24-569","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf24569","ai; artificial intelligence; machine learning; learning; science; technology; engineering; mathematics","Machine Learning and Artificial Intelligence (AI) are enabling extraordinary scientific breakthroughs in fields ranging from protein folding, natural language processing, drug synthesis, and recommender systems to the discovery of novel engineering materials and products. These achievements lie at the confluence of mathematics, statistics, engineering and computer science, yet a clear explanation of the remarkable power and also the limitations of such AI systems has eluded scientists from all disciplines. Critical foundational gaps remain that, if not properly addressed, will soon limit advances in machine learning, curbing progress in artificial intelligence. It appears increasingly unlikely that these critical gaps can be surmounted with increased computational power and experimentation alone. Deeper mathematical understanding is essential to ensuring that AI can be harnessed to meet the future needs of society and enable broad scientific discovery, while forestalling the unintended consequences of a disruptive technology. The National Science Foundation Directorates for Mathematical and Physical Sciences (MPS), Computer and Information Science and Engineering (CISE), Engineering (ENG), and Social, Behavioral and Economic Sciences (SBE) will jointly sponsor research collaborations consisting of mathematicians, statisticians, computer scientists, engineers, and social and behavioral scientists focused on the mathematical and theoretical foundations of AI. Research activities should focus on the most challenging mathematical and theoretical questions aimed at understanding the capabilities, limitations, and emerging properties of AI methods as well as the development of novel, and mathematically grounded, design and analysis principles for the current and next generation of AI approaches. Specific research goals include: establishing a fundamental mathematical understanding of the factors determining the capabilities and limitations of current and emerging generation s of AI systems, including, but not limited to, foundation models, generative models, deep learning, statistical learning, federated learning, and other evolving paradigms; the development of mathematically grounded design and analysis principles for the current and next generations of AI systems; rigorous approaches for characterizing and validating machine learning algorithms and their predictions; research enabling provably reliable, translational, general-purpose AI systems and algorithms; e ncouragement of new collaborations &#8239;in this interdisciplinary research community and between institution s. The overall goal is to establish innovative and principled design and analysis approaches for AI technology using creative yet theoretically grounded mathematical and statistical frameworks, yielding explainable and interpretable models that can enable sustainable, socially responsible, and trustworthy AI."
"Engineering Research Initiation","U.S. National Science Foundation","","2026-10-09","2026-07-17","","11000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","64","24-590","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf24590","science; engineering","The NSF Directorate for Engineering (ENG) seeks to build engineering research capacity across the nation by investing in new academic investigators who have yet to receive sufficient research funding from Federal Agencies. The Engineering Research Initiation (ERI) program will support new investigators as they initiate their research programs and advance in their careers as researchers, educators, and innovators. This funding opportunity aims to broaden the base of investigators involved in engineering research and therefore is limited to investigators that are not affiliated with ""very high research activity"" R1 institutions (according to the Carnegie Classification https://carnegieclassifications.iu.edu/ )."
"Algebra and Number Theory","U.S. National Science Foundation","","2026-10-09","2020-10-06","","","","Unrestricted (i.e., open to any type of entity above), subject to any clarification in text field entitled ""Additional Information on Eligibility""","48","PD-20-1264","http://www.nsf.gov/funding/pgm_summ.jsp?pims_id=5431","science","The Algebra and Number Theory program supports research in algebra, algebraic and arithmetic geometry, number theory, and representation theory. Conference proposals The Algebra and Number Theory program also provides support for conferences, workshops, summer/winter schools, and similar activities. Proposals should be submitted to PD 20-1264 using the ""Conference"" proposal type in research.gov. Proposals with budgets not exceeding $50,000, which in accordance with NSF policy can be reviewed internally, should be submitted: in May for events that will take place in January through April of the following year in October for events that will take place in May through December of the following year. In order to allow time for external review, proposals with budget requests exceeding $50,000 should be submitted nine to twelve months before the event is scheduled to take place."
"Research Experiences for Teachers (RET) in Engineering and Computer Science","U.S. National Science Foundation","","2026-10-14","2023-10-31","","5800000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","72","24-503","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf24503","science; engineering; computer science; pathways","The Research Experiences for Teachers (RET) in Engineering and Computer Science program supports authentic summer research experiences for K-14 educators to foster long-term collaborations between universities, community colleges, school districts, and industry partners. With this solicitation, the Directorates for Engineering (ENG) and Computer and Information Science and Engineering (CISE) focus on a reciprocal exchange of expertise between K-14 educators and research faculty and (when applicable) industry mentors. K-14 educators will enhance their scientific disciplinary knowledge in engineering or computer science and translate their research experiences into classroom activities and curricula to broaden their students' awareness of and participation in computing and engineering pathways. At the same time, the hosting research faculty will deepen their understanding of classroom practices, current curricula, pedagogy, and K-14 educational environments."
"Historically Black Colleges and Universities - Excellence in Research","U.S. National Science Foundation","","2026-10-20","2023-06-08","","28000000","","Others (see text field entitled ""Additional Information on Eligibility"" for clarification)","64","23-598","http://www.nsf.gov/publications/pub_summ.jsp?ods_key=nsf23598","hbcu; science","The Historically Black Colleges and Universities - Excellence in Research (HBCU-EiR) program was established in response to direction provided in the Senate Commerce and Justice, Science and Related Agencies Appropriations Subcommittee Report (Senate Report 115-139), and is built on prior and continuing efforts by the National Science Foundation (NSF) to strengthen research capacity at Historically Black Colleges and Universities (HBCUs). This report provided guidance to NSF to establish the HBCU Excellence in Research program ""to provide opportunities for both public and private HBCUs, particularly for those who have not been successful in larger NSF Research & Related Activities competitions, in order to stimulate sustainable improvement in their research and development capacity"" ( https://congress.gov/congressional-report/115th-congress/senate-report/139/1 ). EiR supports such capacity building by funding research projects aligned with NSF's research programs. The program aims to establish stronger connections between researchers at HBCUs and NSF's research programs."
